Network,Program,Month,Year,URLS
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/28/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/27/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/26/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/25/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/24/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/23/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/23/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/21/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/21/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/20/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/19/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/18/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/17/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/16/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/16/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/14/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/14/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/13/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/13/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/12/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/12/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/11/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/11/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/10/acd.01.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/10/acd.02.html
CNN,ACD,8,2020,http://TRANSCRIPTS/2008/07/acd.01.html
